source,length,count
FASTA,53,2028
FASTA,54,2074
FASTA,55,3030
FASTA,56,3098
FASTA,57,6286
FASTA,58,6786
FASTA,59,7918
FASTA,60,7898
FASTA,61,9566
FASTA,62,8454
FASTA,63,8738
FASTA,64,9054
FASTA,65,8714
FASTA,66,8672
FASTA,67,8194
FASTA,68,8344
FASTA,69,8650
FASTA,70,9086
FASTA,71,8984
FASTA,72,8514
FASTA,73,8720
FASTA,74,9040
FASTA,75,8864
FASTA,76,8708
FASTA,77,8594
FASTA,78,8802
FASTA,79,9220
FASTA,80,8350
FASTA,81,9068
FASTA,82,8408
FASTA,83,8676
FASTA,84,8360
FASTA,85,8760
FASTA,86,8766
FASTA,87,8924
FASTA,88,8684
FASTA,89,8538
FASTA,90,8550
FASTA,91,8940
FASTA,92,8314
FASTA,93,8352
FASTA,94,8536
FASTA,95,8188
FASTA,96,8448
FASTA,97,7630
FASTA,98,7730
FASTA,99,8230
FASTA,100,7978
FASTA,101,7620
FASTA,102,7922
FASTA,103,7738
FASTA,104,7810
FASTA,105,8136
FASTA,106,7686
FASTA,107,7792
FASTA,108,7876
FASTA,109,8282
FASTA,110,8030
FASTA,111,7806
FASTA,112,8092
FASTA,113,7784
FASTA,114,8070
FASTA,115,7722
FASTA,116,7546
FASTA,117,8072
FASTA,118,8046
FASTA,119,7474
FASTA,120,7520
FASTA,121,7662
FASTA,122,7282
FASTA,123,7424
FASTA,124,8140
FASTA,125,7798
FASTA,126,7330
FASTA,127,8420
FASTA,128,7548
FASTA,129,7744
FASTA,130,7064
FASTA,131,7444
FASTA,132,7468
FASTA,133,7208
FASTA,134,7020
FASTA,135,7614
FASTA,136,8042
FASTA,137,7734
FASTA,138,7314
FASTA,139,7560
FASTA,140,7558
FASTA,141,7428
FASTA,142,6926
FASTA,143,7224
FASTA,144,7422
FASTA,145,7266
FASTA,146,7348
FASTA,147,7352
FASTA,148,7184
FASTA,149,6650
FASTA,150,7274
FASTA,151,7256
FASTA,152,7052
FASTA,153,7294
FASTA,154,7532
FASTA,155,7480
FASTA,156,7318
FASTA,157,7508
FASTA,158,6936
FASTA,159,7090
FASTA,160,7364
FASTA,161,7032
FASTA,162,7408
FASTA,163,8010
FASTA,164,7594
FASTA,165,7486
FASTA,166,7366
FASTA,167,7602
FASTA,168,6906
FASTA,169,7120
FASTA,170,7036
FASTA,171,7134
FASTA,172,6852
FASTA,173,6410
FASTA,174,7426
FASTA,175,7242
FASTA,176,7214
FASTA,177,7000
FASTA,178,6880
FASTA,179,6950
FASTA,180,7102
FASTA,181,7408
FASTA,182,6726
FASTA,183,6844
FASTA,184,6926
FASTA,185,6884
FASTA,186,7804
FASTA,187,7294
FASTA,188,7380
FASTA,189,7026
FASTA,190,7654
FASTA,191,6984
FASTA,192,7118
FASTA,193,7364
FASTA,194,6810
FASTA,195,7184
FASTA,196,7492
FASTA,197,6976
FASTA,198,6710
FASTA,199,7206
FASTA,200,6834
FASTA,201,7124
FASTA,202,6904
FASTA,203,6872
FASTA,204,7262
FASTA,205,7278
FASTA,206,6394
FASTA,207,6988
FASTA,208,6596
FASTA,209,6618
FASTA,210,6760
FASTA,211,7428
FASTA,212,6902
FASTA,213,6528
FASTA,214,7080
FASTA,215,6878
FASTA,216,7006
FASTA,217,7138
FASTA,218,6556
FASTA,219,7208
FASTA,220,6804
FASTA,221,7122
FASTA,222,6364
FASTA,223,6656
FASTA,224,6796
FASTA,225,7360
FASTA,226,7010
FASTA,227,6892
FASTA,228,6802
FASTA,229,6866
FASTA,230,6624
FASTA,231,7006
FASTA,232,6784
FASTA,233,6732
FASTA,234,6688
FASTA,235,7262
FASTA,236,6650
FASTA,237,6904
FASTA,238,6700
FASTA,239,6698
FASTA,240,7004
FASTA,241,7102
FASTA,242,6770
FASTA,243,6884
FASTA,244,7242
FASTA,245,6454
FASTA,246,6230
FASTA,247,6816
FASTA,248,6754
FASTA,249,6560
FASTA,250,6906
FASTA,251,6858
FASTA,252,6638
FASTA,253,6332
FASTA,254,6514
FASTA,255,6694
FASTA,256,6608
FASTA,257,6548
FASTA,258,6962
FASTA,259,6894
FASTA,260,6592
FASTA,261,6926
FASTA,262,6960
FASTA,263,6514
FASTA,264,6490
FASTA,265,6410
FASTA,266,6694
FASTA,267,6578
FASTA,268,7380
FASTA,269,6834
FASTA,270,6488
FASTA,271,6756
FASTA,272,6486
FASTA,273,6842
FASTA,274,6512
FASTA,275,7140
FASTA,276,6728
FASTA,277,6892
FASTA,278,7128
FASTA,279,7012
FASTA,280,6820
FASTA,281,6236
FASTA,282,7000
FASTA,283,7124
FASTA,284,6730
FASTA,285,6986
FASTA,286,6634
FASTA,287,6280
FASTA,288,6502
FASTA,289,6484
FASTA,290,6394
FASTA,291,6262
FASTA,292,6666
FASTA,293,6606
FASTA,294,6552
FASTA,295,6820
FASTA,296,6564
FASTA,297,6310
FASTA,298,6996
FASTA,299,6372
FASTA,300,6314
FASTA,301,6330
FASTA,302,6452
FASTA,303,6878
FASTA,304,6294
FASTA,305,6260
FASTA,306,6830
FASTA,307,6766
FASTA,308,6476
FASTA,309,6254
FASTA,310,6894
FASTA,311,6684
FASTA,312,6540
FASTA,313,6508
FASTA,314,6792
FASTA,315,6648
FASTA,316,6440
FASTA,317,6394
FASTA,318,6648
FASTA,319,6396
FASTA,320,6114
FASTA,321,6640
FASTA,322,6658
FASTA,323,6428
FASTA,324,6056
FASTA,325,6462
FASTA,326,6322
FASTA,327,6694
FASTA,328,6488
FASTA,329,6108
FASTA,330,6672
FASTA,331,6628
FASTA,332,6160
FASTA,333,6550
FASTA,334,7132
FASTA,335,6264
FASTA,336,6064
FASTA,337,6540
FASTA,338,6396
FASTA,339,6290
FASTA,340,6406
FASTA,341,6108
FASTA,342,6460
FASTA,343,6346
FASTA,344,6300
FASTA,345,6728
FASTA,346,6530
FASTA,347,6688
FASTA,348,6360
FASTA,349,6474
FASTA,350,6886
FASTA,351,6412
FASTA,352,6472
FASTA,353,6116
FASTA,354,6706
FASTA,355,6494
FASTA,356,6328
FASTA,357,6072
FASTA,358,6378
FASTA,359,6568
FASTA,360,6344
FASTA,361,6584
FASTA,362,6002
FASTA,363,6230
FASTA,364,6658
FASTA,365,6212
FASTA,366,6712
FASTA,367,6324
FASTA,368,6188
FASTA,369,6154
FASTA,370,6502
FASTA,371,6420
FASTA,372,6454
FASTA,373,6816
FASTA,374,6312
FASTA,375,6426
FASTA,376,6722
FASTA,377,6286
FASTA,378,6630
FASTA,379,6624
FASTA,380,6754
FASTA,381,6012
FASTA,382,6510
FASTA,383,6368
FASTA,384,6662
FASTA,385,6760
FASTA,386,6248
FASTA,387,6220
FASTA,388,6762
FASTA,389,6488
FASTA,390,6288
FASTA,391,6240
FASTA,392,6714
FASTA,393,6310
FASTA,394,6646
FASTA,395,6584
FASTA,396,6024
FASTA,397,6326
FASTA,398,6372
FASTA,399,6194
FASTA,400,6602
FASTA,401,6588
FASTA,402,6236
FASTA,403,6436
FASTA,404,6266
FASTA,405,6696
FASTA,406,6316
FASTA,407,6568
FASTA,408,6342
FASTA,409,6530
FASTA,410,6406
FASTA,411,6366
FASTA,412,6380
FASTA,413,6322
FASTA,414,5868
FASTA,415,6334
FASTA,416,6170
FASTA,417,6136
FASTA,418,6520
FASTA,419,6104
FASTA,420,6398
FASTA,421,6406
FASTA,422,6396
FASTA,423,6176
FASTA,424,6460
FASTA,425,5960
FASTA,426,6162
FASTA,427,6240
FASTA,428,5840
FASTA,429,6294
FASTA,430,6136
FASTA,431,6192
FASTA,432,6208
FASTA,433,6360
FASTA,434,6208
FASTA,435,6546
FASTA,436,6000
FASTA,437,6086
FASTA,438,6018
FASTA,439,5998
FASTA,440,6274
FASTA,441,6090
FASTA,442,5936
FASTA,443,6176
FASTA,444,6268
FASTA,445,6042
FASTA,446,6092
FASTA,447,6058
FASTA,448,6408
FASTA,449,6594
FASTA,450,5892
FASTA,451,6338
FASTA,452,6108
FASTA,453,6226
FASTA,454,6428
FASTA,455,6412
FASTA,456,6310
FASTA,457,6460
FASTA,458,6220
FASTA,459,6330
FASTA,460,6210
FASTA,461,5944
FASTA,462,6098
FASTA,463,6348
FASTA,464,6306
FASTA,465,6188
FASTA,466,5834
FASTA,467,6240
FASTA,468,6352
FASTA,469,6090
FASTA,470,6266
FASTA,471,6470
FASTA,472,5878
FASTA,473,5856
FASTA,474,6428
FASTA,475,6208
FASTA,476,6008
FASTA,477,6330
FASTA,478,6424
FASTA,479,6488
FASTA,480,6660
FASTA,481,5990
FASTA,482,6146
FASTA,483,6214
FASTA,484,5992
FASTA,485,6144
FASTA,486,6218
FASTA,487,6320
FASTA,488,6176
FASTA,489,6004
FASTA,490,6078
FASTA,491,6438
FASTA,492,6352
FASTA,493,6300
FASTA,494,6020
FASTA,495,5644
FASTA,496,6134
FASTA,497,6180
FASTA,498,6260
FASTA,499,5750
FASTA,500,5842
FASTA,501,6284
FASTA,502,6272
FASTA,503,6138
FASTA,504,5930
FASTA,505,5834
FASTA,506,5922
FASTA,507,6022
FASTA,508,6612
FASTA,509,6456
FASTA,510,6158
FASTA,511,6262
FASTA,512,5728
FASTA,513,5994
FASTA,514,6578
FASTA,515,6216
FASTA,516,6316
FASTA,517,5920
FASTA,518,5834
FASTA,519,6104
FASTA,520,6330
FASTA,521,6142
FASTA,522,6148
FASTA,523,5898
FASTA,524,6022
FASTA,525,6216
FASTA,526,6358
FASTA,527,5960
FASTA,528,5768
FASTA,529,6156
FASTA,530,5908
FASTA,531,6072
FASTA,532,6252
FASTA,533,5866
FASTA,534,6046
FASTA,535,6288
FASTA,536,5772
FASTA,537,6084
FASTA,538,6234
FASTA,539,5612
FASTA,540,6224
FASTA,541,6088
FASTA,542,6002
FASTA,543,5950
FASTA,544,6456
FASTA,545,5678
FASTA,546,5880
FASTA,547,5972
FASTA,548,6038
FASTA,549,6036
FASTA,550,6356
FASTA,551,6062
FASTA,552,6004
FASTA,553,6196
FASTA,554,6146
FASTA,555,5870
FASTA,556,5872
FASTA,557,5796
FASTA,558,6016
FASTA,559,6392
FASTA,560,6058
FASTA,561,6368
FASTA,562,6114
FASTA,563,5946
FASTA,564,6084
FASTA,565,5924
FASTA,566,5962
FASTA,567,6302
FASTA,568,6046
FASTA,569,6002
FASTA,570,6126
FASTA,571,6262
FASTA,572,6052
FASTA,573,5630
FASTA,574,5710
FASTA,575,5998
FASTA,576,5928
FASTA,577,6022
FASTA,578,6088
FASTA,579,6076
FASTA,580,6270
FASTA,581,5788
FASTA,582,5990
FASTA,583,5384
FASTA,584,5796
FASTA,585,5784
FASTA,586,5890
FASTA,587,5442
FASTA,588,5692
FASTA,589,6160
FASTA,590,5754
FASTA,591,5726
FASTA,592,5994
FASTA,593,5742
FASTA,594,5920
FASTA,595,5820
FASTA,596,5764
FASTA,597,5666
FASTA,598,6284
FASTA,599,5790
FASTA,600,6098
FASTA,601,6100
FASTA,602,5750
FASTA,603,5950
FASTA,604,5804
FASTA,605,5992
FASTA,606,5658
FASTA,607,6094
FASTA,608,5554
FASTA,609,5640
FASTA,610,5594
FASTA,611,5848
FASTA,612,6072
FASTA,613,6054
FASTA,614,5820
FASTA,615,6206
FASTA,616,5972
FASTA,617,5906
FASTA,618,5912
FASTA,619,5720
FASTA,620,5600
FASTA,621,5782
FASTA,622,6030
FASTA,623,5470
FASTA,624,6128
FASTA,625,5462
FASTA,626,5784
FASTA,627,5966
FASTA,628,5684
FASTA,629,5532
FASTA,630,5870
FASTA,631,6022
FASTA,632,5470
FASTA,633,5614
FASTA,634,5680
FASTA,635,5528
FASTA,636,5778
FASTA,637,5744
FASTA,638,5912
FASTA,639,6062
FASTA,640,5816
FASTA,641,5752
FASTA,642,5910
FASTA,643,5534
FASTA,644,5916
FASTA,645,6026
FASTA,646,5786
FASTA,647,6136
FASTA,648,5190
FASTA,649,6048
FASTA,650,5486
FASTA,651,5494
FASTA,652,5752
FASTA,653,5588
FASTA,654,5706
FASTA,655,5970
FASTA,656,5704
FASTA,657,5626
FASTA,658,5776
FASTA,659,5646
FASTA,660,5762
FASTA,661,5622
FASTA,662,5668
FASTA,663,5736
FASTA,664,5368
FASTA,665,5442
FASTA,666,5448
FASTA,667,5504
FASTA,668,5562
FASTA,669,5500
FASTA,670,6120
FASTA,671,5526
FASTA,672,5826
FASTA,673,5794
FASTA,674,5562
FASTA,675,5638
FASTA,676,5852
FASTA,677,5782
FASTA,678,5876
FASTA,679,5540
FASTA,680,5628
FASTA,681,5898
FASTA,682,5804
FASTA,683,5636
FASTA,684,5178
FASTA,685,5590
FASTA,686,5332
FASTA,687,5752
FASTA,688,5606
FASTA,689,5720
FASTA,690,5570
FASTA,691,5902
FASTA,692,5612
FASTA,693,5888
FASTA,694,5692
FASTA,695,5552
FASTA,696,5498
FASTA,697,5444
FASTA,698,5176
FASTA,699,5586
FASTA,700,5744
FASTA,701,5714
FASTA,702,5272
FASTA,703,5372
FASTA,704,5600
FASTA,705,5334
FASTA,706,5328
FASTA,707,5354
FASTA,708,5582
FASTA,709,5834
FASTA,710,5634
FASTA,711,5544
FASTA,712,5960
FASTA,713,5466
FASTA,714,5528
FASTA,715,5416
FASTA,716,5644
FASTA,717,5782
FASTA,718,5624
FASTA,719,5262
FASTA,720,5628
FASTA,721,5454
FASTA,722,5324
FASTA,723,5614
FASTA,724,5226
FASTA,725,5508
FASTA,726,5630
FASTA,727,6002
FASTA,728,5410
FASTA,729,5904
FASTA,730,5554
FASTA,731,5618
FASTA,732,5362
FASTA,733,5462
FASTA,734,5530
FASTA,735,5306
FASTA,736,5372
FASTA,737,5354
FASTA,738,5768
FASTA,739,5660
FASTA,740,5336
FASTA,741,5700
FASTA,742,5750
FASTA,743,5450
FASTA,744,6022
FASTA,745,5684
FASTA,746,5844
FASTA,747,5652
FASTA,748,8234
FASTA,749,8028
